concept_path	concept_cd	name_char	concept_blob	update_date	download_date	import_date	sourcesystem_cd	upload_id
\FHIR\	FHIR	FHIR root		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\	FHIR:Account	FHIR Account		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\active\	FHIR:Account.active	FHIR Account active		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\balance\	FHIR:Account.balance	FHIR Account balance		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\coverage\	FHIR:Account.coverage	FHIR Account coverage		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\description\	FHIR:Account.description	FHIR Account description		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\guarantor\	FHIR:Account.guarantor	FHIR Account guarantor		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\guarantor\period\	FHIR:Account.guarantor.period	FHIR Account guarantor period		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\identifier\	FHIR:Account.identifier	FHIR Account identifier		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\identifier\period\	FHIR:Account.identifier.period	FHIR Account identifier period		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\identifier\type\	FHIR:Account.identifier.type	FHIR Account identifier type		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\identifier\type\coding\	FHIR:Account.identifier.type.coding	FHIR Account identifier type coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\name\	FHIR:Account.name	FHIR Account name		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\owner\	FHIR:Account.owner	FHIR Account owner		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\period\	FHIR:Account.period	FHIR Account period		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\status\	FHIR:Account.status	FHIR Account status		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\subject\	FHIR:Account.subject	FHIR Account subject		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\type\	FHIR:Account.type	FHIR Account type		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\Account\type\coding\	FHIR:Account.type.coding	FHIR Account type coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\	FHIR:ActivityDefinition	FHIR ActivityDefinition		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\approvalDate\	FHIR:ActivityDefinition.approvalDate	FHIR ActivityDefinition approvalDate		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\bodySite\	FHIR:ActivityDefinition.bodySite	FHIR ActivityDefinition bodySite		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\bodySite\coding\	FHIR:ActivityDefinition.bodySite.coding	FHIR ActivityDefinition bodySite coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\code\	FHIR:ActivityDefinition.code	FHIR ActivityDefinition code		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\code\coding\	FHIR:ActivityDefinition.code.coding	FHIR ActivityDefinition code coding		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\contact\	FHIR:ActivityDefinition.contact	FHIR ActivityDefinition contact		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\contact\telecom\	FHIR:ActivityDefinition.contact.telecom	FHIR ActivityDefinition contact telecom		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\contact\telecom\period\	FHIR:ActivityDefinition.contact.telecom.period	FHIR ActivityDefinition contact telecom period		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\contributor\	FHIR:ActivityDefinition.contributor	FHIR ActivityDefinition contributor		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\contributor\contact\	FHIR:ActivityDefinition.contributor.contact	FHIR ActivityDefinition contributor contact		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\contributor\contact\telecom\	FHIR:ActivityDefinition.contributor.contact.telecom	FHIR ActivityDefinition contributor contact telecom		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\contributor\contact\telecom\period\	FHIR:ActivityDefinition.contributor.contact.telecom.period	FHIR ActivityDefinition contributor contact telecom period		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\copyright\	FHIR:ActivityDefinition.copyright	FHIR ActivityDefinition copyright		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\date\	FHIR:ActivityDefinition.date	FHIR ActivityDefinition date		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
\FHIR\ActivityDefinition\description\	FHIR:ActivityDefinition.description	FHIR ActivityDefinition description		2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	2017-09-21 16:10:30.825927	FHIR STU3	
